objectid,parentid,title,creator,film,source,date,description,subject,timestamp,angle,distance,location,movement,lighting,composition,duration,themes,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
punc-00039,,PUNC-00039,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:00:39,eye-level,full shot,interior,mobile; handheld,,single shot,long take,location; marginality,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00039/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00039/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00039/tiles/full/300,169/0/default.jpg","A man sits at a desk on the phone, in the corner of an empty room.",
punc-00144,,PUNC-00144,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:01:44,eye-level,full shot,interior,mobile; handheld; pan,,single shot,long take,marginality,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00144/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00144/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00144/tiles/full/300,169/0/default.jpg",A man stands from his desk.,
punc-00149,,PUNC-00149,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:01:49,eye-level,plan américain,interior,mobile; handheld; pan,low key,single shot,long take,marginality,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00149/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00149/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00149/tiles/full/300,169/0/default.jpg",A man walks across a dark room.,
punc-00156,,PUNC-00156,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:01:56,eye-level,full shot,interior,mobile; handheld; pan; tracking,low key,single shot,long take,marginality,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00156/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00156/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00156/tiles/full/300,169/0/default.jpg",A man stands in the opening of a garage.,
punc-00208,,PUNC-00208,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:02:08,eye-level; over the shoulder,medium shot,exterior,mobile; handheld; pan; tracking,low key,single shot,long take,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00208/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00208/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00208/tiles/full/300,169/0/default.jpg",A man stands outside.,
punc-00212,,PUNC-00212,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:02:12,eye-level,establishing shot,exterior,mobile; handheld; pan; tracking,low key,,long take,location,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00212/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00212/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00212/tiles/full/300,169/0/default.jpg",The exit from a side street to a main street.,
punc-00230,,PUNC-00230,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:02:30,eye-level,long shot,exterior,mobile; handheld; pan; tracking,low key,,long take,marginality; violence,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00230/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00230/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00230/tiles/full/300,169/0/default.jpg",A road in the early morning.,
punc-00238,,PUNC-00238,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:02:38,eye-level,long shot,exterior,mobile; handheld; pan,low key,,long take,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00238/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00238/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00238/tiles/full/300,169/0/default.jpg",A car overturning on a road.,
punc-00240,,PUNC-00240,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:02:40,eye-level,medium shot,exterior,mobile; handheld,,single shot,,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00240/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00240/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00240/tiles/full/300,169/0/default.jpg",A man gasps in shock.,
punc-00242,,PUNC-00242,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:02:42,eye-level,long shot,exterior,mobile; handheld,low key,,,location,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-00242/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-00242/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-00242/tiles/full/300,169/0/default.jpg",An empty road.,
